SYMBOL,p value,p (rank),Fold change,ln(p),Fold (rank),log(fold),which
Brpf1,0.000577134702039461,,1.65219594379461,,,,both
Suz12,0.000577662999800888,,2.88184214470216,,,,both
Clspn,0.000579564271973143,,2.19484160133889,,,,both
Epc1,0.000656506082458264,,1.70126376183944,,,,both
Snx10,0.000658775103241083,,2.03364783812257,,,,both
Rbm5,0.000683524678059877,,5.36182643381069,,,,both
Kif22,0.000685727280461235,,1.83691355333158,,,,both
Ube2g1,0.000691963887095803,,4.32962161368606,,,,both
Cnot2,0.000730534218625456,,2.32991681371221,,,,both
Sdad1,0.000733596744146525,,2.89743580410581,,,,both
Hes1,0.000765300262536295,,1.5635669834043,,,,both
Kif1b,0.000765634494903744,,2.75900768623501,,,,both
